70299078,"IsraelNovaes",Israel Novaes (IN),314397,1416244337582
840897602,"christiand",Christian Delgrosso,303178,1416244337582
93879817,"AvioesdoForro_",Aviões do Forró,295128,1416244337582
256031832,"ThaemeeThiago",Thaeme e Thiago,294928,1416244337582
64947130,"sporservisi",Spor Servisi,288272,1416244337582
218846504,"rosarioficial",Rosario Flores,286807,1416244337582
97566975,"mylifeasliz_liz",liz bizkit,281460,1416244337582
54280694,"MarcoseBelutti",Marcos & Belutti,277258,1416244337582
42573217,"gkhamba",Khamba,277045,1416244337582
631486431,"CrisEfeitos",Cristiano Araújo,272119,1416244337582
553572500,"AD_SPORTSCH",???? ?????? ????????,264380,1416244337582
90963197,"folha_poder",Folha Poder,263659,1416244337582
14120922,"thetanmay",Tanmay Bhat,265441,1416244337582
421855962,"Raffaellafico",Raffaella Fico,261050,1416244337582
19564523,"Manzarra",João Manzarra,260845,1416244337582
67939411,"xandedepilares",xandedepilares,257187,1416244337582
293496413,"robertmarawa",robertmarawa,255735,1416244337582
118720645,"kyunghyang",????,250891,1416244337582
73840916,"GoalUK",Goal UK,248441,1416244337582
78684416,"BlogdoJuca",Juca Kfouri,246526,1416244337582
133779381,"glutamine_nico",??????1105???????,245615,1416244337582
166522734,"OKAZ_online",????? ????,235301,1416244337582
49781518,"O_Unas",rui unas,220292,1416244337582
461578921,"marciocapatonda",maccio capatonda,210927,1416244337582
154102750,"Beritasatu",BeritaSatu.com,210516,1416244337582
98087364,"touyukan",??,208509,1416244337582
148800843,"Los40ar",40 Principales,208021,1416244337582
894096848,"miriamsan81",MIRIAM SANCHEZ,206556,1416244337582
89504000,"angelicacastro_",Angélica Castro,190944,1416244337582
76666825,"TeletonColombia",Teletón Colombia ,187310,1416244337582
381474818,"FuriaseElena",Elena Furiase,187137,1416244337582
131160120,"Frank_Blanco",Frank Blanco,186533,1416244337582
432507102,"fia",FIA,178014,1416244337582
628253891,"iamVikramPrabhu",Vikram Prabhu,176357,1416244337582
2830720945,"chaelinCL",CL,177603,1416244337583
1427572039,"SarahSechan_NET",Sarah Sechan,174962,1416244337583
469591535,"MumuzinhoC",Mumuzinhoc,173299,1416244337583
1278787135,"Siphano",Julien,173130,1416244337583
160881696,"1tvru_news",?????? ????? ???????,172791,1416244337583
