{104227735=<>, 567341777=<>, 27103822=<>, 19200736=<>, 140080129==, 12413892=<>, 16220541=<>},1420578902643
{16045956=<>, 326821147=<>, 34541677=<>, 278093318=<>, 180026716==, 41644754=<>, 92791146=<>},1420578962643
{93644596=<>, 51220493==, 818340=<>, 21842357==, 16101657=<>, 14745100=<>, 8861752=<>},1420579022643
{8312862=<>, 188077169=<>, 338262255=<>, 384940104=<>, 22948692=<>, 1618007706=<>, 104291835=<>},1420579082643
{23742474=<>, 44682474=<>, 373316165==, 61292961=<>, 50023090=<>, 23453742=<>, 309220197=<>},1420579142643
{55252152=<>, 23354464=<>, 73417273=<>, 15111389=<>, 46358463=<>, 33320626=<>, 92733433=<>},1420579202643
{1381345892=<>, 1364403168=<>, 24849868=<>, 166715703=<>, 174890917=<>, 17437735=<>, 89787221=<>},1420579262643
{17698956=<>, 14845376=<>, 10069612=<>, 278093318=<>, 140080129=<>, 811303=<>, 15646547=<>},1420579322643
{19034656=<>, 16262688=<>, 7867072=<>, 18811814=<>, 20146313=<>, 309220197==, 49437246=<>},1420579382643
{186222238=<>, 22990521=<>, 25368027=<>, 25870048=<>, 879521=<>, 4380591=<>, 23973187=<>},1420579442643
{14192680=<>, 12413892=<>, 1618007706=<>, 24426175=<>, 89316412=<>, 12273252==, 8861752==},1420579502643
{238115057=<>, 19118802=<>, 384479689=<>, 27103822=<>, 325220198=<>, 36573752=<>, 134772528=<>},1420579562643
{349227445=<>, 17070252==, 140080129==, 18725415=<>, 22948692==, 44426926=<>, 16253142==},1420579622643
{25242416=<>, 1381345892==, 278093318=<>, 309220197=<>, 17348724=<>, 18964685=<>, 24773493=<>},1420579682643
{1581203119=<>, 16621805=<>, 824157=<>, 169193463=<>, 19274498=<>, 17810599=<>, 46697447=<>},1420579742643
{36440780=<>, 5146511=<>, 87290802=<>, 34541677=<>, 14845376=<>, 118292510=<>, 15907716=<>},1420579802643
{172496840=<>, 1566741842=<>, 15836048=<>, 808721557=<>, 21842357=<>, 1454742764=<>, 57333521=<>},1420579862643
{21986815=<>, 16045956=<>, 15520253=<>, 10005212=<>, 188077169=<>, 123576946=<>, 92733433=<>},1420579922643
{21862217=<>, 43285968=<>, 24849868=<>, 140080129=<>, 555359654=<>, 976147104=<>, 89787221=<>},1420579982643
{292289403=<>, 394078527=<>, 24206345=<>, 12413892=<>, 1618007706=<>, 309220197=<>, 8861752=<>},1420580042643
{14192680=<>, 193232854=<>, 15980503=<>, 259637983==, 16262688=<>, 22948692=<>, 27091328==},1420580102643
{23354464==, 278093318=<>, 45710831=<>, 22990521=<>, 4282171=<>, 19781206=<>, 20096207=<>},1420580162643
{23742474=<>, 276554601=<>, 46213956=<>, 20745130=<>, 18970044=<>, 19287097=<>, 195897346=<>},1420580222643
{109013694=<>, 326821147=<>, 1381345892==, 824157=<>, 14845376=<>, 7867072=<>, 17070252=<>},1420580282643
{8312862=<>, 40329236=<>, 17896885=<>, 119538278=<>, 69020299=<>, 140080129==, 384940104=<>},1420580342643
{27103822=<>, 152341106=<>, 18971670=<>, 15601977=<>, 21796484=<>, 61733092=<>, 1365924662=<>},1420580402643
{114872969=<>, 60863619=<>, 17604456=<>, 24849868=<>, 174890917=<>, 22192440=<>, 104291835=<>},1420580462643
{394078527=<>, 278093318=<>, 21842357=<>, 387220815=<>, 17047743=<>, 23973187=<>, 12273252=<>},1420580522643
{108039570=<>, 384479689=<>, 10069612=<>, 140080129=<>, 19934731=<>, 92733433=<>, 89787221=<>},1420580582643
{104227735=<>, 15520253=<>, 1381345892==, 19943507=<>, 22948692=<>, 14916494=<>, 92791146=<>},1420580642643
{14787749=<>, 21104725=<>, 1618007706=<>, 309220197=<>, 57333521=<>, 240818630=<>, 23624581=<>},1420580702643
{824157==, 14845376=<>, 278093318=<>, 140080129==, 48544015=<>, 24426175=<>, 31634255=<>},1420580762643
{19205893=<>, 14192680=<>, 34541677=<>, 338262255=<>, 1454742764=<>, 18725415=<>, 14811775=<>},1420580822643
{19200736=<>, 188077169=<>, 61292961=<>, 12413892=<>, 44426926=<>, 163926617=<>, 46358463=<>},1420580882643
{8312862=<>, 7023592=<>, 27103822=<>, 202777395=<>, 45710831==, 7867072=<>, 8861752=<>},1420580942643
{206276555=<>, 23354464=<>, 16262688=<>, 35947725=<>, 512403075=<>, 15856366=<>, 12273252=<>},1420581002643
