{21986815==, 15111389==},1420574522643
{1381345892=<>31890  31892, 19934731==, 15646547=<>35991  35980},1420582322643
{140140890=<>13454  13444, 1381345892==, 104291835==},1420582382643
{193232854==, 22990521=<>72463  72450, 57333521=<>70403  70402},1420582442643
{14192680==, 34541677=<>100003  99999, 46213956==},1420582502643
{19943507==, 45710831==, 25368027==},1420582562643
{19274498=<>21547  21549, 43216942=<>63895  63894, 89787221=<>99997  100001},1420582622643
{1581203119=<>100006  100005, 10069612=<>100001  99998, 43216942==},1420582682643
{27103822=<>75481  75478, 18718162=<>44386  44384, 195897346==},1420582742643
{326821147=<>35756  35752, 21842357=<>77831  77830, 96184837=<>35976  35974},1420582802643
{193232854=<>99999  99998, 259637983=<>54612  54608, 23973187=<>48795  48788},1420582862643
{12413892=<>35276  35273, 240818630=<>11806  11781, 23973187==},1420582922643
{50672288=<>21240  21241, 152341106==, 17145499==},1420582982643
{824157=<>99999  100000, 14845376=<>66581  66582, 96184837==},1420583042643
{8312862=<>83700  83701, 1381345892=<>31886  31890, 49437246==},1420583102643
{384940104=<>100008  100005, 1618007706=<>19657  19656, 104291835=<>99998  99999},1420583162643
{15445129=<>99999  100002, 55252152=<>11265  11255},1420583222643
{17698956=<>100087  100062, 12413892=<>35275  35276, 96184837==},1420583282643
{824157==, 33320626=<>57704  57706},1420583342643
{21842357=<>77832  77831, 15111389==, 525187154=<>85943  85937},1420583402643
{23354464=<>32107  32104, 278093318=<>74281  74279, 259637983==},1420583462643
