{19934731=<>, 278093318=<>, 108039570=<>, 92733433=<>, 10069612=<>},1420580582643
{22948692=<>, 19943507=<>, 21842357=<>, 14916494=<>, 14192680=<>},1420580642643
{140080129=<>, 309220197=<>, 240818630=<>, 14787749=<>, 23624581=<>},1420580702643
{48544015=<>, 46213956=<>, 17810599=<>, 45710831=<>, 24426175=<>},1420580762643
{15920875=<>, 34541677=<>, 24773493=<>, 14811775=<>, 338262255=<>},1420580822643
{18725415=<>, 163926617=<>, 61292961=<>, 19200736=<>, 27091328=<>},1420580882643
{7023592=<>, 8312862=<>, 23973187=<>, 202777395=<>, 1364403168=<>},1420580942643
{35947725=<>, 512403075=<>, 8861752=<>, 15856366=<>, 206276555=<>},1420581002643
{57333521=<>, 92791146=<>, 10005212=<>, 12273252=<>, 120985729=<>},1420581062643
{186222238=<>, 15111389=<>, 152341106=<>, 1618007706=<>, 15646547=<>},1420581122643
{50023090=<>, 11178672=<>, 89316412=<>, 96184837=<>, 17698956=<>},1420581182643
{259637983=<>, 17070252=<>, 276554601=<>, 7867072=<>, 25870048=<>},1420581242643
{25368027=<>, 130447060=<>, 24849868=<>, 18971670=<>, 22192440=<>},1420581302643
{19274498=<>, 16101657=<>, 109013694=<>, 824157=<>, 203020760=<>},1420581362643
{17348724=<>, 21842357=<>, 14192680=<>, 26207922=<>, 1381345892=<>},1420581422643
{140080129=<>, 1454742764=<>, 818340=<>, 44426926=<>, 23624581=<>},1420581482643
{532171645=<>, 27103822=<>, 22990521=<>, 17166894=<>, 18360000=<>},1420581542643
{384479689=<>, 17896885=<>, 107024149=<>, 12413892=<>, 16277373=<>},1420581602643
{127452677=<>, 289794552=<>, 140140890=<>, 15445129=<>, 1365924662=<>},1420581662643
{19034656=<>, 90714989=<>, 326821147=<>, 93644596=<>, 14845376=<>},1420581722643
{37845895=<>, 23354464=<>, 278093318=<>, 193232854=<>, 104291835=<>},1420581782643
{35818653=<>, 879521=<>, 89787221=<>, 20536103=<>, 23742474=<>},1420581842643
{309220197=<>, 108039570=<>, 92733433=<>, 10069612=<>, 226493139=<>},1420581902643
{57333521=<>, 34541677=<>, 24773493=<>, 188077169=<>, 45710831=<>},1420581962643
{180026716=<>, 316053072=<>, 61733092=<>, 16220541=<>, 74578857=<>},1420582022643
{8312862=<>, 17437735=<>, 12413892=<>, 24849868=<>, 43285968=<>},1420582082643
{6416622=<>, 17604456=<>, 8861752=<>, 32107066=<>, 19964088=<>},1420582142643
{19934731=<>, 43216942=<>, 31634255=<>, 40996128=<>, 394078527=<>},1420582202643
{20146313=<>, 24705687=<>, 19118802=<>, 1618007706=<>, 120985729=<>},1420582262643
{15520253=<>, 70314632=<>, 16045956=<>, 15646547=<>, 21104725=<>},1420582322643
{118292510=<>, 174890917=<>, 16621805=<>, 15484266=<>, 14787749=<>},1420582382643
{259637983=<>, 21842357=<>, 17698956=<>, 14192680=<>, 12273252=<>},1420582442643
{17070252=<>, 19943507=<>, 824157=<>, 1381345892=<>, 131003396=<>},1420582502643
{525187154=<>, 4380591=<>, 15980503=<>, 134772528=<>, 55252152=<>},1420582562643
{512403075=<>, 186222238=<>, 22948692=<>, 15856366=<>, 10005212=<>},1420582622643
{140080129=<>, 27103822=<>, 16262688=<>, 292289403=<>, 15445129=<>},1420582682643
