{278093318=<>, 19943507=<>, 195897346=<>},1420580642643
{278093318=<>, 309220197=<>, 14787749=<>},1420580702643
{31634255==, 824157=<>, 24426175=<>},1420580762643
{34541677=<>, 45710831=<>, 338262255=<>},1420580822643
{61292961=<>, 89787221==, 12413892=<>},1420580882643
{7023592=<>, 278093318=<>, 44426926=<>},1420580942643
{23973187=<>, 20745130=<>, 12273252==},1420581002643
{309220197=<>, 120985729=<>, 214214616=<>},1420581062643
{278093318=<>, 19943507=<>, 12273252==},1420581122643
{278093318=<>, 12273252=<>, 44426926==},1420581182643
{259637983=<>, 278093318==, 61292961==},1420581242643
{130447060=<>, 824157=<>, 24849868=<>},1420581302643
{309220197=<>, 31634255==, 18971670=<>},1420581362643
{309220197==, 34541677==, 45710831==},1420581422643
{259637983=<>, 1454742764=<>, 44426926==},1420581482643
{22990521=<>, 89787221==, 12413892=<>},1420581542643
{278093318==, 16277373=<>, 15856366=<>},1420581602643
{278093318==, 15445129=<>, 24849868=<>},1420581662643
{278093318=<>, 195897346==, 12413892=<>},1420581722643
{17810599=<>, 824157=<>, 14787749==},1420581782643
{278093318=<>, 108039570=<>, 10005212=<>},1420581842643
{309220197=<>, 89787221=<>, 24849868==},1420581902643
{309220197==, 34541677=<>, 44426926=<>},1420581962643
{259637983=<>, 12413892=<>, 338262255=<>},1420582022643
{309220197=<>, 45710831=<>, 24849868=<>},1420582082643
{278093318==, 17604456=<>, 1454742764=<>},1420582142643
{89787221==, 31634255=<>, 824157=<>},1420582202643
{20146313=<>, 24705687=<>, 24426175==},1420582262643
{46213956=<>, 278093318==, 309220197=<>},1420582322643
{22990521=<>, 24849868==, 12273252==},1420582382643
{278093318==, 17604456==, 24849868==},1420582442643
{19943507==, 824157==, 44426926==},1420582502643
{12413892=<>, 10005212=<>, 55252152=<>},1420582562643
{34541677=<>, 89787221==, 14787749=<>},1420582622643
{17604456==, 278093318=<>, 45710831==},1420582682643
{73417273=<>, 166715703=<>, 12273252=<>},1420582742643
{73417273==, 1454742764==, 24849868==},1420582802643
{23973187=<>, 21986815=<>, 34454970=<>},1420582862643
{259637983=<>, 278093318=<>, 108039570==},1420582922643
{114872969=<>, 620340592=<>, 33320626=<>},1420582982643
{195897346==, 824157=<>, 8923182==},1420583042643
{34541677=<>, 12273252==, 338262255=<>},1420583102643
{278093318==, 17604456==, 24849868==},1420583162643
{54988878=<>, 309220197=<>, 12413892=<>},1420583222643
{20745130==, 183807568=<>, 44426926=<>},1420583282643
{2703171=<>, 278093318=<>, 15445129=<>},1420583342643
{108039570==, 15856366=<>, 14787749=<>},1420583402643
{24705687=<>, 12273252==, 18971670=<>},1420583462643
