{1381345892=<>, 17437735=<>, 89787221==},1420579262643
{17698956=<>, 140080129=<>, 811303=<>},1420579322643
{1006922053=<>, 140080129=<>, 1618007706=<>},1420579382643
{14845376==, 12413892=<>, 12273252=<>},1420579442643
{1381345892==, 15856366==, 89787221=<>},1420579502643
{14845376==, 7867072==, 1618007706==},1420579562643
{17070252=<>, 44426926==, 16253142==},1420579622643
{1381345892==, 140080129=<>, 27091328=<>},1420579682643
{1581203119==, 326821147=<>, 140080129=<>},1420579742643
{36440780=<>, 5146511=<>, 14745100=<>},1420579802643
{172496840=<>, 1454742764==, 57333521==},1420579862643
{15520253=<>, 10005212=<>, 123576946==},1420579922643
{140080129=<>, 1618007706==, 976147104=<>},1420579982643
{12413892==, 12273252==, 89787221==},1420580042643
{1381345892==, 14845376==, 17070252=<>},1420580102643
{45710831=<>, 140080129=<>, 20096207=<>},1420580162643
{20745130==, 7867072==, 19287097=<>},1420580222643
{15520253=<>, 326821147==, 1618007706=<>},1420580282643
{40329236=<>, 119538278=<>, 44426926=<>},1420580342643
{1381345892=<>, 15601977=<>, 140080129=<>},1420580402643
{140080129=<>, 22192440=<>, 89787221==},1420580462643
{14845376==, 17047743=<>, 12273252=<>},1420580522643
{10005212=<>, 140080129==, 1454742764==},1420580582643
{15520253==, 140080129=<>, 57333521=<>},1420580642643
{1618007706=<>, 811303==, 23624581=<>},1420580702643
{1381345892=<>, 140080129=<>, 31634255==},1420580762643
{19205893==, 17070252=<>, 140080129==},1420580822643
{19200736=<>, 12413892=<>, 27091328=<>},1420580882643
{7023592=<>, 202777395=<>, 7867072=<>},1420580942643
{14845376==, 35947725=<>, 89787221==},1420581002643
{45710831=<>, 120985729=<>, 140080129=<>},1420581062643
{20745130=<>, 15111389=<>, 12273252==},1420581122643
{17698956=<>, 34409159==, 44426926=<>},1420581182643
{17698956==, 140080129=<>, 17070252=<>},1420581242643
{140080129=<>, 57333521=<>, 15856366=<>},1420581302643
{203020760=<>, 1618007706=<>, 16101657=<>},1420581362643
{1381345892==, 14845376==, 140080129==},1420581422643
{818340=<>, 1454742764=<>, 23624581=<>},1420581482643
{532171645=<>, 18360000=<>, 12413892=<>},1420581542643
{1581203119=<>, 107024149=<>, 31634255==},1420581602643
{1381345892=<>, 140080129=<>, 976147104=<>},1420581662643
{326821147=<>, 90714989=<>, 140080129==},1420581722643
{17698956==, 7867072==, 140080129=<>},1420581782643
{10005212=<>, 17070252==, 89787221=<>},1420581842643
{14845376=<>, 226493139=<>, 44426926=<>},1420581902643
{1381345892=<>, 45710831=<>, 140080129==},1420581962643
{316053072=<>, 180026716=<>, 12413892=<>},1420582022643
{1381345892==, 57333521=<>, 17437735=<>},1420582082643
{532171645==, 1454742764=<>, 6416622=<>},1420582142643
{15111389==, 43216942==, 31634255=<>},1420582202643
{140080129=<>, 1618007706==, 89787221==},1420582262643
{15520253=<>, 17698956=<>, 70314632=<>},1420582322643
{14845376==, 180026716=<>, 12273252=<>},1420582382643
{1381345892=<>, 7867072==, 27091328==},1420582442643
{17698956==, 17070252=<>, 44426926==},1420582502643
{10005212=<>, 140080129=<>, 12413892=<>},1420582562643
{1581203119==, 140080129==, 89787221==},1420582622643
{17698956==, 202777395==, 140080129==},1420582682643
{1381345892=<>, 180026716==, 166715703=<>},1420582742643
{36440780==, 326821147=<>, 34409159=<>},1420582802643
{373316165==, 45710831=<>, 34454970=<>},1420582862643
