19588475,"workingcapital",Working Capital,37494,2000,15054,1420544088586
219452444,"gruposalinas",Grupo Salinas,12478,1351,7039,1420544088586
16277373,"jasongraymusic",jasongraymusic,22336,1554,7698,1420544088586
43285968,"WEareOTHERWISE",OTHERWISE,16984,5043,3631,1420544088586
36767344,"relentlessdrink",RelentlessEnergy,17037,3431,10537,1420544088587
160890393,"TataSky",Tata Sky,14954,6114,28604,1420544088587
21986815,"FillmoreSF",The Fillmore,24509,3862,5741,1420544088587
251323107,"Darylesing",Daryle Singletary,11378,7293,5500,1420544088587
388784593,"Asashoryu",Asashoryu ?68??????,97102,1665,25827,1420544088587
74462695,"Sologig",Sologig,18292,4502,2052,1420544088587
12432922,"ATTSmallBiz",AT&T Small Business,61340,2194,5824,1420544088587
54908952,"flamelauthor",Michael Scott Author,16320,1526,12166,1420544088587
127452677,"MBCnest",MBC PR,84069,10220,18508,1420544088587
532171645,"AbramovDeputat",????? ???????,69638,38921,11913,1420544088587
20263526,"Apartmentscom",Apartments.com,11723,1927,2555,1420544088587
77177335,"tiff_site",???????,23040,14426,10675,1420544088587
242098879,"WynnWs",CNNWynn,10394,10121,10350,1420544088587
81632884,"isituma",Idris Situma,24396,2057,5306,1420544088587
25870048,"asnbank",ASN Bank,10273,5630,12743,1420544088587
202777395,"HeySamantha",Sam Murphy Kelly,18055,1217,8316,1420544088587
38702668,"BR_MLB",Bleacher Report,12023,2770,53526,1420544088587
619739966,"MikeOkinyi",Mike Okinyi,19385,1144,10511,1420544088587
35947725,"InStyleMag",InStyle,42960,1096,8342,1420544088587
23973187,"MaleekBerry",IG : MALEEKBERRY,48779,1226,45753,1420544088587
108039570,"sportando",Sportando,33612,1816,88529,1420544088587
19295464,"JiveMusic",Jive Music,50723,7457,1192,1420544088587
7867072,"peta2",peta2,69698,13470,43088,1420544088587
329121956,"HuffPostUKPics",HuffPostUK Pictures,17083,1105,45130,1420544088587
87290802,"AG_USA",Assemblies of God US,33817,12764,4706,1420544088587
26337145,"bertrand_amar",bertrand Amar,21837,1055,26927,1420544088587
45710831,"Crocs",Crocs Shoes,46160,1062,12513,1420544088587
21104725,"OfficeMax",OfficeMax Inc.,27347,2650,4166,1420544088587
234484328,"MSGSportsNYC",MSG Sports,14606,1107,5190,1420544088587
21432863,"SeattleInsider",SI w/ Michael Fox,14872,12610,8547,1420544088587
512403075,"SDaviesNBC5",Samantha Davies,13139,5203,13662,1420544088587
33491215,"charliesale",charlie sale,16743,1238,1713,1420544088587
18685577,"StephenBowman",Stephen Bowman,17021,2986,5406,1420544088587
61733092,"tobyperkinsmp",Toby Perkins MP,13243,2559,14483,1420544088587
24773493,"RepTrentFranks",Rep. Trent Franks,15877,1247,1223,1420544088587
134772528,"KopparbergUK",Kopparberg UK,27201,2687,7187,1420544088587
92791146,"CotswoldOutdoor",Cotswold Outdoor,41775,2559,13854,1420544088587
51220493,"MickLaSalle",Mick LaSalle,59475,40353,5675,1420544088587
24628429,"MelbourneVixens",Melbourne Vixens,12098,1090,11061,1420544088587
18845325,"AnthonyMarlowe",Anthony Marlowe,45101,2126,3581,1420544088587
183807568,"RealWem",WEM,33856,20043,9511,1420544088587
50023090,"STATravel_UK",STA Travel UK,93059,3407,20897,1420544088587
172496840,"LillyPad",LillyPad,85287,1301,12184,1420544088587
20279218,"treypearson",Trey Pearson,21695,11797,9142,1420544088587
